Key,english,german,french,italian,spanish,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
ck_camera_tip,Tip: Pause during a projectile cinematic to tweak sliders and see changes in real-time.,"Tipp: Halten Sie während einer Projektilsequenz an, um die Regler anzupassen und die Änderungen in Echtzeit zu sehen.",Astuce : Mettez le jeu en pause pendant une cinématique de projectile pour ajuster les curseurs et voir les changements en temps réel.,Suggerimento: metti in pausa durante un filmato con un proiettile per modificare i cursori e vedere i cambiamenti in tempo reale.,Consejo: haga una pausa durante la cinemática de un proyectil para ajustar los controles deslizantes y ver los cambios en tiempo real.,ヒント: 発射物のシネマティック中に一時停止して、スライダーを微調整し、変化をリアルタイムで確認します。,팁: 투사체 시네마틱 영상 재생 중에 일시 정지하여 슬라이더를 조정하고 실시간으로 변경 사항을 확인하세요.,"Wskazówka: Zatrzymaj odtwarzanie przerywnika filmowego, aby zmienić ustawienia suwaków i zobaczyć zmiany w czasie rzeczywistym.",Dica: Pause durante uma cena de projétil para ajustar os controles deslizantes e ver as alterações em tempo real.,"Совет: Во время показа сцены с применением снаряда сделайте паузу, чтобы подкорректировать настройки ползунков и увидеть изменения в реальном времени.",İpucu: Mermi fırlatma sinematiği sırasında duraklatarak kaydırıcıları ayarlayabilir ve değişiklikleri gerçek zamanlı olarak görebilirsiniz.,提示：在投射物过场动画播放期间暂停，调整滑块并实时查看变化。,提示：在投射物過場動畫播放期間暫停，調整滑桿並即時查看變化。
ck_chance,Chance *,Chance *,Chance *,Opportunità *,Oportunidad *,チャンス *,가능성 *,Szansa *,Chance *,Шанс *,Şans *,机会 *,機會 *
ck_cinematics_disabled,CINEMATICS DISABLED,CINEMATICS DEAKTIVIERT,CINÉMAS DÉSACTIVÉS,CINEMA DISABILITATO,CINEMÁTICA DESACTIVADA,シネマティック無効,시네마틱스 기능 비활성화됨,FILMOWANIE WYŁĄCZONE,CINEMATOGRAFIA DESATIVADA,КИНЕМАТОГРАФИЧЕСКИЕ УДОСТВЕРЕНИЯ,SİNEMATİKLER DEVRE DIŞI BIRAKILDI,电影级特效已禁用,電影級特效已停用
ck_cooldown,Cooldown,Abklingzeit,Refroidir,Raffreddare,Enfriarse,クールダウン,쿨다운,Czas odnowienia,Esfriar,Остывать,Sakin ol,冷却,冷卻
ck_custom_positioning,Custom Positioning,Benutzerdefinierte Positionierung,Positionnement personnalisé,Posizionamento personalizzato,Posicionamiento personalizado,カスタムポジショニング,사용자 지정 위치 지정,Pozycjonowanie niestandardowe,Posicionamento personalizado,Пользовательское позиционирование,Özel Konumlandırma,自定义定位,自訂定位
ck_delete,X,X,X,X,incógnita,X,엑스,X,X,X,X,X,X
ck_defaults,defaults,Standardeinstellungen,valeurs par défaut,valori predefiniti,valores predeterminados,デフォルト,기본값,domyślne,padrões,по умолчанию,varsayılanlar,默认值,預設值
ck_desaturation,DESATURATION,Entsättigung,DÉSATURATION,DESATURAZIONE,DESATURACIÓN,彩度低下,탈포화,DENATURACJA,DESSATURAÇÃO,ДЕСАТУРАЦИЯ,DOYUMUN DÜŞÜRÜLMESİ,脱饱和,脫飽和
ck_detection_height,Detection Height,Erfassungshöhe,Hauteur de détection,Altezza di rilevamento,Altura de detección,検出高さ,감지 높이,Wysokość wykrywania,Altura de detecção,Высота обнаружения,Algılama Yüksekliği,探测高度,探測高度
ck_disabled,DISABLED,DEAKTIVIERT,DÉSACTIVÉ,DISABILI,DESACTIVADO,無効,장애가 있는,WYŁĄCZONY,DESABILITADO,НЕПОЛНОЦЕННЫЙ,ENGELLİ,已禁用,已停用
ck_duration,Duration *,Dauer *,Durée *,Durata *,Duración *,間隔 *,지속 *,Czas trwania *,Duração *,Продолжительность *,Süre *,期间 *,期間 *
ck_duration_label,Duration,Dauer,Durée,Durata,Duración,間隔,지속,Czas trwania,Duração,Продолжительность,Süre,期间,期間
ck_enable_basic_kill,Enable Basic Kill,Basis-Tötung aktivieren,Activer le kill de base,Abilita uccisione di base,Habilitar muerte básica,基本キルを有効にする,기본 처치 활성화,Włącz podstawowe zabijanie,Ativar Eliminação Básica,Включить базовое убийство,Temel Öldürmeyi Etkinleştir,启用基本击杀,啟用基本擊殺
ck_enable_cinematics,Enable Cinematics,Zwischensequenzen aktivieren,Activer les cinématiques,Abilita Cinematics,Habilitar cinemáticas,シネマティックを有効にする,시네마틱 활성화,Włącz kinematografię,Ativar cinemáticas,Включить кинематографические эффекты,Sinematikleri Etkinleştir,启用过场动画,啟用過場動畫
ck_enable_cinematics_camera_hint,Enable Cinematics in the Main tab to configure camera.,"Aktivieren Sie die Zwischensequenzen im Hauptmenü, um die Kamera zu konfigurieren.",Activez l'option Cinématiques dans l'onglet Principal pour configurer la caméra.,Abilita Cinematics nella scheda Principale per configurare la telecamera.,Habilite Cinematics en la pestaña Principal para configurar la cámara.,カメラを設定するには、メイン タブで Cinematics を有効にします。,메인 탭에서 시네마틱 기능을 활성화하여 카메라를 설정하세요.,"Włącz funkcję Cinematics na karcie Głównej, aby skonfigurować kamerę.",Ative o modo Cinematics na aba Principal para configurar a câmera.,"Включите функцию «Кинематография» на вкладке «Главная», чтобы настроить камеру.",Kamera ayarlarını yapılandırmak için Ana sekmesinde Sinematikleri etkinleştirin.,在“主”选项卡中启用“电影模式”以配置摄像机。,在「主」標籤中啟用「電影模式」以設定攝影機。
ck_enable_cinematics_effects_hint,Enable Cinematics in Main tab to access Effects settings.,"Aktivieren Sie die Zwischensequenzen im Hauptmenü, um auf die Effekteinstellungen zuzugreifen.",Activez l'option Cinématiques dans l'onglet Principal pour accéder aux paramètres des effets.,Abilita Cinematics nella scheda Principale per accedere alle impostazioni degli Effetti.,Habilite Cinemática en la pestaña Principal para acceder a la configuración de Efectos.,エフェクト設定にアクセスするには、メインタブでシネマティックを有効にします。,효과 설정에 접근하려면 메인 탭에서 시네마틱 기능을 활성화하세요.,"Włącz opcję Kinematografię na karcie Głównej, aby uzyskać dostęp do ustawień efektów.","Ative a opção ""Cinemáticas"" na aba principal para acessar as configurações de efeitos.","Включите функцию «Кинематография» на вкладке «Главная», чтобы получить доступ к настройкам эффектов.",Efekt ayarlarına erişmek için Ana sekmesinde Sinematikleri etkinleştirin.,在“主”选项卡中启用“电影效果”以访问特效设置。,在「主」標籤中啟用「電影效果」以存取特效設定。
ck_enable_cinematics_hud_hint,Enable Cinematics in Main tab to access HUD settings.,"Aktivieren Sie die Zwischensequenzen im Hauptmenü, um auf die HUD-Einstellungen zuzugreifen.",Activez les cinématiques dans l'onglet principal pour accéder aux paramètres de l'interface.,Abilita le Cinematiche nella scheda Principale per accedere alle impostazioni HUD.,Habilite Cinemática en la pestaña Principal para acceder a la configuración del HUD.,HUD 設定にアクセスするには、メイン タブでシネマティクスを有効にします。,메인 탭에서 시네마틱 기능을 활성화하면 HUD 설정에 접근할 수 있습니다.,"Włącz opcję Kinematografię na karcie Głównej, aby uzyskać dostęp do ustawień HUD.",Ative as cinemáticas na aba Principal para acessar as configurações da interface.,"Включите функцию «Кинематографическая вставка» на вкладке «Главная», чтобы получить доступ к настройкам интерфейса.",HUD ayarlarına erişmek için Ana sekmesinde Sinematikleri Etkinleştir'i seçin.,在“主”选项卡中启用“过场动画”以访问HUD设置。,在「主」標籤中啟用「過場動畫」以存取HUD設定。
ck_enable_cinematics_triggers_hint,Enable Cinematics in the Main tab to configure triggers.,"Aktivieren Sie die Zwischensequenzen im Hauptmenü, um Trigger zu konfigurieren.",Activez l'option Cinématiques dans l'onglet Principal pour configurer les déclencheurs.,Abilita Cinematics nella scheda Principale per configurare i trigger.,Habilite Cinemática en la pestaña Principal para configurar activadores.,トリガーを構成するには、メイン タブで Cinematics を有効にします。,트리거를 구성하려면 메인 탭에서 시네마틱을 활성화하세요.,"Włącz opcję Kinematografię na karcie Głównej, aby skonfigurować wyzwalacze.","Ative a opção ""Cinemáticas"" na aba principal para configurar os gatilhos.","Включите функцию «Кинематография» на вкладке «Главная», чтобы настроить триггеры.",Tetikleyicileri yapılandırmak için Ana sekmesinde Sinematikleri etkinleştirin.,在“主”选项卡中启用“电影效果”以配置触发器。,在“主”標籤中啟用“電影效果”以配置觸發器。
ck_enable_in_main_tab_summary,Enable Cinematics in the Main tab to see current settings.,"Aktivieren Sie die Zwischensequenzen im Hauptmenü, um die aktuellen Einstellungen anzuzeigen.",Activez l'option Cinématiques dans l'onglet Principal pour afficher les paramètres actuels.,Abilita Cinematics nella scheda Principale per visualizzare le impostazioni correnti.,Habilite Cinemática en la pestaña Principal para ver la configuración actual.,現在の設定を表示するには、メイン タブでシネマティックを有効にします。,메인 탭에서 시네마틱 기능을 활성화하면 현재 설정을 확인할 수 있습니다.,"Włącz funkcję Cinematics na karcie Głównej, aby zobaczyć bieżące ustawienia.","Ative a opção ""Cinemáticas"" na aba principal para visualizar as configurações atuais.","Включите функцию «Кинематография» на вкладке «Главная», чтобы увидеть текущие настройки.",Güncel ayarları görmek için Ana sekmesinde Sinematikleri Etkinleştir'i seçin.,在“主”选项卡中启用“电影效果”以查看当前设置。,在「主」標籤中啟用「電影效果」以查看目前設定。
ck_enable_triggers,Enable Special Triggers,Spezielle Auslöser aktivieren,Activer les déclencheurs spéciaux,Abilita trigger speciali,Habilitar activadores especiales,特殊トリガーを有効にする,특수 트리거 활성화,Włącz specjalne wyzwalacze,Ativar gatilhos especiais,Включить специальные триггеры,Özel Tetikleyicileri Etkinleştir,启用特殊触发器,啟用特殊觸發器
ck_enable_triggers_hint,Enable Special Triggers in Main tab first.,Aktivieren Sie zuerst die speziellen Trigger im Hauptmenü.,Activez d'abord les déclencheurs spéciaux dans l'onglet principal.,Abilitare prima i trigger speciali nella scheda Principale.,Primero habilite los activadores especiales en la pestaña principal.,まずメインタブで特殊トリガーを有効にします。,먼저 메인 탭에서 특수 트리거를 활성화하세요.,Najpierw włącz opcję Wyzwalacze specjalne na karcie Głównej.,"Primeiro, habilite os gatilhos especiais na guia principal.",Сначала включите специальные триггеры на вкладке «Главная».,Öncelikle Ana sekmesinde Özel Tetikleyicileri etkinleştirin.,请先在主选项卡中启用特殊触发器。,請先在主選項卡中啟用特殊觸發器。
ck_enabled,ENABLED,ERMÖGLICHT,ACTIVÉ,ABILITATO,ACTIVADO,有効,활성화됨,WŁĄCZONY,HABILITADO,ВКЛЮЧЕНО,ETKİNLEŞTİRİLMİŞ,已启用,已啟用
ck_enemy_scan_radius,Enemy Scan Radius,Feind-Scanradius,Rayon de détection ennemi,Raggio di scansione del nemico,Radio de escaneo del enemigo,敵スキャン範囲,적 스캔 반경,Promień skanowania wroga,Raio de Varredura do Inimigo,Радиус сканирования противника,Düşman Tarama Yarıçapı,敌方扫描半径,敵方掃描半徑
ck_explosive,Explosive,Explosiv,Explosif,Esplosivo,Explosivo,爆発物,폭발물,Materiał wybuchowy,Explosivo,Взрывчатый,Patlayıcı,爆炸物,霹靂
ck_export_settings,Export Settings,Exporteinstellungen,Paramètres d'exportation,Impostazioni di esportazione,Configuración de exportación,エクスポート設定,내보내기 설정,Ustawienia eksportu,Configurações de exportação,Экспорт настроек,Dışa Aktarma Ayarları,导出设置,匯出設定
ck_first_person,First Person,Ich-Perspektive,Première personne,Prima persona,Primera persona,一人称,1인칭 시점,Pierwsza osoba,Primeira pessoa,От первого лица,Birinci Kişi,第一人称,第一人稱
ck_first_person_camera,First Person Camera,Ego-Perspektive,Caméra à la première personne,Telecamera in prima persona,Cámara en primera persona,一人称カメラ,1인칭 카메라,Kamera pierwszoosobowa,Câmera em primeira pessoa,Камера от первого лица,Birinci Şahıs Kamerası,第一人称视角,第一人稱視角
ck_first_person_only,First Person Only,Nur die Ich-Perspektive,Seule la première personne,Solo in prima persona,Sólo en primera persona,一人称のみ,1인칭 시점만,Tylko w pierwszej osobie,Somente em primeira pessoa,Только от первого лица,Birinci Şahıs Sadece,第一人称视角,第一人稱視角
ck_first_person_percent,First Person %,Erste Person %,Pourcentage de la première personne,Prima persona %,Primera persona %,一人称 %,1인칭 시점 %,Pierwsza osoba %,Primeira Pessoa %,Первый человек %,Birinci Kişi %,第一人称百分比,第一人稱百分比
ck_fov,FOV,Sichtfeld,Champ de vision,Campo visivo,Campo de visión,視野角,시야각,Pole widzenia,Campo de visão,FOV,FOV,视野,視野
ck_fov_mode,FOV Mode,FOV-Modus,Mode champ de vision,Modalità FOV,Modo FOV,FOVモード,FOV 모드,Tryb pola widzenia,Modo FOV,Режим FOV,FOV Modu,视场模式,視場模式
ck_fp,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP,FP
ck_fp_disabled_hint,First Person Camera is disabled in Main tab,Die Ego-Perspektive ist im Hauptmenü deaktiviert.,La caméra à la première personne est désactivée dans l'onglet principal.,La visuale in prima persona è disabilitata nella scheda principale,La cámara en primera persona está deshabilitada en la pestaña principal,メインタブで一人称カメラが無効になっています,메인 탭에서 1인칭 카메라가 비활성화되어 있습니다.,Kamera pierwszoosobowa jest wyłączona w karcie głównej,A câmera em primeira pessoa está desativada na aba Principal.,Камера от первого лица отключена во вкладке «Главное».,Ana sekmede Birinci Şahıs Kamerası devre dışı bırakıldı.,第一人称视角在主选项卡中已禁用,第一人稱視角在主選項卡中已停用
ck_fp_disabled_triggers_hint,First Person Camera is disabled for triggers in Main tab,Die Ego-Perspektive ist für Trigger im Haupt-Tab deaktiviert.,La caméra à la première personne est désactivée pour les déclencheurs de l'onglet principal.,La visuale in prima persona è disabilitata per i trigger nella scheda principale,La cámara en primera persona está deshabilitada para los activadores en la pestaña principal,メインタブのトリガーでは一人称カメラが無効になっています,메인 탭의 트리거에 대해 1인칭 카메라가 비활성화됩니다.,Kamera pierwszoosobowa jest wyłączona dla wyzwalaczy na karcie głównej,A câmera em primeira pessoa está desativada para gatilhos na aba Principal.,Камера от первого лица отключена для триггеров на вкладке «Главное».,Ana sekmedeki tetikleyiciler için Birinci Şahıs Kamerası devre dışı bırakılmıştır.,主选项卡中的触发器已禁用第一人称视角相机,主選項卡中的觸發器已停用第一人稱視角相機
ck_fp_only,FP Only,Nur FP,FP uniquement,Solo FP,Solo FP,FPのみ,FP 전용,Tylko FP,Somente FP,Только FP,Sadece Parmak İzi,仅限FP,限FP
ck_fp_settings_for_basic,First person camera settings for normal kills,Ego-Perspektiven-Kameraeinstellungen für normale Kills,Paramètres de la caméra à la première personne pour les éliminations normales,Impostazioni della telecamera in prima persona per uccisioni normali,Configuración de la cámara en primera persona para muertes normales,通常のキルの一人称カメラ設定,일반 처치 시 1인칭 카메라 설정,Ustawienia kamery pierwszoosobowej dla normalnych zabójstw,Configurações de câmera em primeira pessoa para eliminações normais,Настройки камеры от первого лица для обычных убийств,Normal öldürmeler için birinci şahıs kamera ayarları,第一人称视角下正常击杀的相机设置,第一人稱視角下正常擊殺的相機設置
ck_fp_settings_for_triggers,First person camera settings for special trigger kills,Ego-Perspektiven-Kameraeinstellungen für spezielle Trigger-Kills,Paramètres de la caméra à la première personne pour les éliminations par déclenchement spécial,Impostazioni della telecamera in prima persona per uccisioni con trigger speciali,Configuración de la cámara en primera persona para asesinatos especiales,特殊トリガーキルの一人称カメラ設定,특수 트리거 처치 시 1인칭 카메라 설정,Ustawienia kamery pierwszoosobowej dla specjalnych zabójstw wyzwalanych,Configurações de câmera em primeira pessoa para eliminações com gatilho especial,Настройки камеры от первого лица для убийств с помощью специальных триггеров,Özel tetikleyici öldürmeler için birinci şahıs kamera ayarları,第一人称视角下的特殊触发击杀设置,第一人稱視角下的特殊觸發擊殺設置
ck_hidden_elements,"Hidden: Crosshair, Compass, Health, etc.","Versteckt: Fadenkreuz, Kompass, Gesundheitsanzeige usw.","Caché : Réticule, Boussole, Santé, etc.","Nascosti: Mirino, Bussola, Salute, ecc.","Oculto: Cruz, Brújula, Salud, etc.",非表示: クロスヘア、コンパス、体力など。,"숨김: 조준선, 나침반, 체력 등","Ukryte: Celownik, Kompas, Zdrowie, itp.","Ocultos: Mira, Bússola, Saúde, etc.","Скрытые элементы: прицел, компас, здоровье и т. д.","Gizli: Nişangah, Pusula, Sağlık vb.",隐藏信息：准星、指南针、生命值等。,隱藏訊息：準星、指南針、生命值等。
ck_import_settings,Import Settings,Importeinstellungen,Paramètres d'importation,Impostazioni di importazione,Configuración de importación,インポート設定,설정 가져오기,Ustawienia importu,Configurações de importação,Импорт настроек,Ayarları İçe Aktar,导入设置,導入設定
ck_in,In,In,Dans,In,En,で,~ 안에,W,Em,В,İçinde,在,在
ck_indoor_outdoor_desc,"Indoors → First Person, Outdoors → Projectile","Innenbereich → Ego-Perspektive, Außenbereich → Projektil","Intérieur → Vue à la première personne, Extérieur → Projectile","Al chiuso → Prima persona, All'aperto → Proiettile","Interior → Primera persona, Exterior → Proyectil",屋内 → 一人称、屋外 → 発射物,"실내 → 1인칭 시점, 실외 → 투사체","W pomieszczeniu → Widok z pierwszej osoby, Na zewnątrz → Pocisk","Em ambientes internos → Primeira Pessoa, em ambientes externos → Projétil","В помещении → От первого лица, на открытом воздухе → Метательное оружие","İç Mekan → Birinci Şahıs, Dış Mekan → Mermi",室内 → 第一人称视角，室外 → 投射物,室內 → 第一人稱視角，室外 → 投射物
ck_killstreak_kills,Kills Required,Erforderliche Abschüsse,Nombre de victimes requis,Uccisioni richieste,Muertes requeridas,必要なキル数,킬 필요 횟수,Wymagane zabójstwa,Mortes necessárias,Требуемое количество убийств,Öldürme Gerekli,所需击杀数,所需擊殺數
ck_killstreak_window,Time Window,Zeitfenster,Période de référence,Finestra temporale,Ventana de tiempo,時間枠,시간 창,Okno czasowe,Janela de tempo,Временной интервал,Zaman Aralığı,时间窗口,時間視窗
ck_load,Load,Laden,Charger,Carico,Carga,負荷,짐,Obciążenie,Carregar,Нагрузка,Yük,加载,載入
ck_long_range_distance,Long Range Distance,Langstreckendistanz,Longue portée,Distanza a lungo raggio,Distancia de largo alcance,長距離,장거리 거리,Odległość dalekiego zasięgu,Distância de longo alcance,Дальний радиус действия,Uzun Menzil Mesafesi,远距离,遠距離
ck_low_health_percent,Low Health %,Niedriger Gesundheitszustand %,Faible pourcentage de santé,Bassa percentuale di salute,% de salud baja,体力低下%,낮은 건강 %,Niski % zdrowia,Baixa porcentagem de saúde,Низкий процент здоровья,Düşük Sağlık Yüzdesi,低生命值%,低生命值%
ck_melee,Melee,Nahkampf,Mêlée,Mischia,Pelea confusa,近接戦闘,난투,Bijatyka,Corpo a corpo,Ближний бой,Yakın Dövüş,近战,近戰
ck_menu_title,CINEMATIC KILL,CINEMATIC TILL,MEURTRE CINÉMATOGRAPHIQUE,UCCISIONE CINEMATOGRAFICA,ASESINATO CINEMÁTICO,シネマティックキル,시네마틱 킬,FILMOWE ZABICIE,MORTE CINEMATOGRÁFICA,КИНЕМАТОГРАФИЧЕСКОЕ УБИЙСТВО,SİNEMATİK ÖLDÜRME,电影式击杀,電影式擊殺
ck_message_duration,Message Duration,Nachrichtendauer,Durée du message,Durata del messaggio,Duración del mensaje,メッセージの長さ,메시지 지속 시간,Czas trwania wiadomości,Duração da mensagem,Продолжительность сообщения,Mesaj Süresi,消息持续时间,訊息持續時間
ck_mode,Mode,Modus,Mode,Modalità,Modo,モード,방법,Tryb,Modo,Режим,Mod,模式,模式
ck_no_presets,No custom presets saved yet.,Es wurden noch keine benutzerdefinierten Voreinstellungen gespeichert.,Aucun préréglage personnalisé n'a encore été enregistré.,Nessun preset personalizzato salvato ancora.,Aún no se han guardado ajustes preestablecidos personalizados.,カスタムプリセットはまだ保存されていません。,아직 저장된 사용자 지정 프리셋이 없습니다.,Nie zapisano jeszcze żadnych niestandardowych ustawień.,Nenhuma configuração personalizada foi salva ainda.,Пользовательские настройки пока не сохранены.,Henüz hiçbir özel ön ayar kaydedilmedi.,尚未保存任何自定义预设。,尚未儲存任何自訂預設。
ck_no_triggers_enabled,No triggers enabled. Enable triggers above.,Es sind keine Trigger aktiviert. Aktivieren Sie die Trigger oben.,Aucun déclencheur activé. Activez les déclencheurs ci-dessus.,Nessun trigger abilitato. Abilita i trigger sopra.,No hay activadores habilitados. Habilite los activadores arriba.,トリガーが有効になっていません。上記のトリガーを有効にしてください。,트리거가 활성화되어 있지 않습니다. 위에서 트리거를 활성화하세요.,Brak włączonych wyzwalaczy. Włącz wyzwalacze powyżej.,Nenhum gatilho ativado. Ative os gatilhos acima.,Триггеры не включены. Включите триггеры выше.,Hiçbir tetikleyici etkinleştirilmedi. Lütfen yukarıdaki tetikleyicileri etkinleştirin.,未启用任何触发器。请在上方启用触发器。,未啟用任何觸發器。請在上方啟用觸發器。
ck_none,None,Keiner,Aucun,Nessuno,Ninguno,なし,없음,Nic,Nenhum,Никто,Hiçbiri,没有任何,沒有任何
ck_off,Off,Aus,Désactivé,Spento,Apagado,オフ,끄다,Wyłączony,Desligado,Выключенный,Kapalı,离开,離開
ck_opacity,Opacity,Opazität,Opacité,Opacità,Opacidad,不透明度,불투명,Nieprzezroczystość,Opacidade,Непрозрачность,Opaklık,不透明度,不透明度
ck_out,Out,Aus,Dehors,Fuori,Afuera,外,밖으로,Na zewnątrz,Fora,Вне,Dışarı,出去,出去
ck_ovr,OVR,OVR,OVR,OVR,OVR,オーバー,OVR,OVR,OVR,ОВР,OVR,总价,總價
ck_override,OVERRIDE,ÜBERSCHREITEN,OUTREPASSER,SOSTITUIRE,ANULAR,オーバーライド,보수,PRZEŚCIGAĆ,SOBREPOSIÇÃO,ПЕРЕОПРЕДЕЛИТЬ,GEÇERSİZ KILMAK,覆盖,覆蓋
ck_override_chance,Override Chance,Überschreibungsmöglichkeit,Chance de remplacement,Possibilità di override,Posibilidad de anulación,オーバーライドチャンス,오버라이드 확률,Szansa na nadpisanie,Chance de substituição,Шанс переопределения,Geçersiz Kılma Şansı,覆盖机会,覆蓋機會
ck_override_global_settings,Override Global Settings,Globale Einstellungen überschreiben,Remplacer les paramètres globaux,Ignora impostazioni globali,Anular configuración global,グローバル設定を上書きする,전역 설정 재정의,Zastąp ustawienia globalne,Substituir configurações globais,Переопределить глобальные настройки,Genel Ayarları Geçersiz Kıl,覆盖全局设置,覆蓋全域設定
